javanese,indonesian
Putra pambarep saking satunggaling pedagang gandum ingkang makmur.,Putra tertua dari seorang pedagang gandum yang makmur.
"Piyambakipun ageng wonten ing Bohain en Vermandois, Picardie, Perancis.","Ia dibesarkan di Bohain-en-Vermandois, Picardie, Perancis."
"Wonten ing taun 1887, piyambakipun tindak dhateng Paris kangge sinau hukum.","Pada tahun 1887, ia pergi ke Paris untuk belajar hokum."
"Sasampun pikantuk kualifikasinipun, piyambakipun nyambut damel minangka administrator pengadilan wonten ing Le Cateau Cambresis.","Setelah mendapatkan kualifikasinya, ia bekerja sebagai administrator pengadilan di Le Cateau-Cambresis. Awalnya ia melukis obyek mati yang tampak “hidup” dan pemandangan darat dalam gaya tradisional, di mana ia mencapai kemahiran."
"Wiwitanipun piyambakipun nglukis obyek mati ingkang katingal urip lan sesawangan dharat wonten ing gaya tradisional, ing pundi piyambakipun dumugi ing kawegiganipun.","Setelah mendapatkan kualifikasinya, ia bekerja sebagai administrator pengadilan di Le Cateau-Cambresis. Awalnya ia melukis obyek mati yang tampak “hidup” dan pemandangan darat dalam gaya tradisional, di mana ia mencapai kemahiran."
"Matisse kapangaruh dening karya karya guru saderengipun kados Jean Baptiste Simeon Chardin, Nicolas Poussin, lan Antoine Watteau, sarta seniman modern kados edouard Manet, lan seni Jepang.","Matisse dipengaruhi oleh karya-karya guru sebelumnya seperti Jean-Baptiste-Siméon Chardin, Nicolas Poussin, dan Antoine Watteau, serta seniman modern seperti Édouard Manet, dan seni Jepang."
"Chardin inggih punika salah satunggaling pelukis ingkang paling dipunsegenni Matisse, minangka satunggaling mahasiswa seni piyambakipun damel salinan saking sekawan lukisan Chardin ing Louvre.","Chardin adalah salah satu pelukis yang paling dikagumi Matisse, sebagai seorang mahasiswa seni ia membuat salinan dari empat lukisan Chardin di Louvre."
"Pada tahun 1896 dan 1897, Matisse mengunjungi pelukis Australia, John Peter Russell, di pulau Belle Île, lepas pantai Brittany.","Pada tahun 1896 dan 1897, Matisse mengunjungi pelukis Australia, John Peter Russell, di pulau Belle-Île, lepas pantai Brittany."
Russell memperkenalkannya kepada Impresionisme dan karya van Gogh yang pernah menjadi teman Russel.,Russell memperkenalkannya kepada Impresionisme dan karya van Gogh yang pernah menjadi teman Russel.
"Gaya Matisse berubah sepenuhnya, dan ia kemudian akan mengatakan Russell adalah guru saya, dan Russell menjelaskan teori warna kepada saya.","Gaya Matisse berubah sepenuhnya, dan ia kemudian akan mengatakan ""Russell adalah guru saya, dan Russell menjelaskan teori warna kepada saya.”"
"Pada tahun 1896, lima lukisan Matisse dipamerkan di Societe Nationale des Beaux Arts, dua di antaranya adalah dibeli oleh Negara.","Pada tahun 1896, lima lukisan Matisse dipamerkan di Société Nationale des Beaux-Arts, dua di antaranya adalah dibeli oleh Negara."
"Kanthi model Caroline Joblau, piyambakipun lajeng kagungan satunggaling putri, Marguerite, miyos wonten ing taun 1894.","Dengan model Caroline Joblau, ia kemudian memiliki seorang putri, Marguerite, lahir pada tahun 1894."
"Wonten ing taun 1898 piyambakipun palakrama kaliyan Amelie Noellie Parayre, lan kekalihipun ngrumat Marguerite sesarengan lan kagungan kalih putra, Jean miyos 1899 lan Pierre miyos 1900.","Pada tahun 1898 ia menikah dengan Amélie Noellie Parayre, dan mereka berdua merawat Marguerite bersama-sama dan memiliki dua putra, Jean (lahir 1899) dan Pierre (lahir 1900)."
Marguerite lan Amelie asring dipunlukis minangka mode dening Matisse. Proyek punika minangka kasil saking kekancan akrab antawising Matisse lan Suster Jacques Marie.,"Marguerite dan Amélie sering dilukis sebagai model oleh Matisse. Pada tahun 1898, atas saran dari Camille Pissarro, ia pergi ke London untuk mempelajari lukisan JMW Turner dan kemudian melanjutkan perjalanan ke Corsica."
"Wonten ing taun 1952 piyambakipun mbiyangun sawijining  ingkang dipundedikasikaken kangge pedamelanipun, Museum Matisse wonten ing Le Cateau, lan sakmenika koleksi paling ageng kaping 3 saking Matisse ing Perancis.","Pada tahun 1952 ia mendirikan sebuah museum yang didedikasikan untuk pekerjaannya, Museum Matisse di Le Cateau, dan sekarang koleksi terbesar ketiga dari Matisse di Perancis."
Matisse seda amargi serangan jantung wonten ing yuswa 84 taun nalika November 1954.,Matisse meninggal karena serangan jantung pada usia 84 pada November 1954.
Prokariota,Prokariota
"Prokariota iku organisme sing ora nduweni nuklei lan membran kanggo nyimpen bahan bahan genetika beda banget karo organisme Eukariota sing nduweni nuklei lan membran jroning inti sele, saengga bahan bahan genetikane kakumpul ing nuklei kasebut lan umume minangka organisme uniselular nanging jroning sawetara kasus, ana uga organisme prokariota sing multiselular. Akeh akehe prokariota iku bakteri.","Prokariota adalah makhluk hidup yang tidak memiliki membran inti sel (= ""karyon""), sedangkan eukariota memiliki membran inti sel."
Uni Afrika,Uni Afrika
"Uni Afrika, dicekak UA basa Inggris: African Union, kuwi sawijining organisasi antar pamarentahan kang nduweni tujuan nyebarake prinsip demokrasi, hak asasi manungsa lan pembangunan ing penjuru Afrika.","Uni Afrika, disingkat UA (bahasa Inggris: African Union, disingkat AU) adalah sebuah uni yang terdiri dari 54 negara Afrika."
Caribbean Airlines,Caribbean Airlines
"Caribbean Airlines Limited, oprasi minangka Caribbean Airlines yaiku maskapai panerbangan nasional saka Trinidad lan Tobago.","Caribbean Airlines Limited, beroperasi sebagai Caribbean Airlines adalah maskapai penerbangan nasional dari Trinidad dan Tobago."
"Maskapai iki uga dadi maskapai penerbangan nasional kanggo Jamaika lumantar anak perusahaane, Caribbean Airlines Air Jamaica Transition Limited utawa Air Jamaica. Maskapai iki mulai oprasi nalika 1 Januari 2007, ganteni pengarepe, BWIA West Indies Airways.","Maskapai ini juga menjadi maskapai penerbangan nasional bagi Jamaika melalui anak perusahaannya, Caribbean Airlines-Air Jamaica Transition Limited atau Air Jamaica. Maskapai ini mulai beroperasi pada 1 Januari 2007, menggantikan pendahulunya, BWIA West Indies Airways."
"Kantor pusate yaiku ing Piarco, Tunapuna Piarco region, ing pulo Trinidad.","Kantor pusatnya adalah di Piarco, Tunapuna-Piarco region, di pulau Trinidad."
Majalah sajrone penerbangane yaiku Caribbean Beat.,"Majalah dalam penerbangannya adalah ""Caribbean Beat""."
"Caribbean Airlines mabur saka wilayah Karibia tumuju Amerika Serikat, Kanada, lan Amerika Selatan.","Caribbean Airlines terbang dari wilayah Karibia menuju Amerika Serikat, Kanada dan Amerika Selatan."
Armada.,Armada.
Armada saiki.,Armada saat ini.
Armada Caribbean Airlines kasusun saka pesawat kaya mangkene pada Maret 2011:,Armada Caribbean Airlines terdiri dari pesawat sebagai berikut (pada Maret 2011): Lagu tema.
Marie Claire Barth,Marie-Claire Barth
"Marie Claire dilahirake nalika 20 Februari 1927 ing Jenewa, sianu teologi ing Jenewa lan Zürich, Swiss. Pekerjaan.","Marie-Claire dilahirkan pada 20 Februari 1927 di Jenewa, belajar teologi di Jenewa dan Zürich, Swiss. Pelayanan di Indonesia."
Balek marang eropa.,"Di STT Jakarta ia membantu suaminya mengajar mata kuliah ""Perjanjian Lama"". Kembali ke Eropa."
Tahun 1965 Marie Claire Barth lan kulawargane balek marang eropa.,Tahun 1965 Marie-Claire Barth dan keluarganya kembali ke Eropa.
"Christoph, bojone, mulang ing Universitas Mainz ing Jerman.","Christoph, suaminya, mengajar di Universitas Mainz di Jerman."
"Senajan mengkono pelayanan Marie Claire tumprap bangsa Indonesia tetep nerusake liwat pelayanane tumprap komunitas Kristen Indonesia Perki lan perawat Indonesia kang kerja ing Jerman. Nalika 1979 kuawarga Barth balik marang Basel, lan Marie Claire kerja minangka sekretaris ing jero negeri ing Basel Mission.","Meskipun demikian pelayanan Marie-Claire terhadap bangsa Indonesia tetap berlanjut melalui pelayanannya terhadap komunitas Kristen Indonesia (Perki) dan perawat Indonesia yang bekerja di Jerman. Pada 1979 keluarga Barth kembali ke Basel, dan Marie-Claire bekerja sebagai sekretaris dalam negeri di Basel Mission. Pelayanan sekarang."
Pelayanan sekarang.,"Meskipun demikian pelayanan Marie-Claire terhadap bangsa Indonesia tetap berlanjut melalui pelayanannya terhadap komunitas Kristen Indonesia (Perki) dan perawat Indonesia yang bekerja di Jerman. Pada 1979 keluarga Barth kembali ke Basel, dan Marie-Claire bekerja sebagai sekretaris dalam negeri di Basel Mission. Pelayanan sekarang."
"Sakwise Christoph mati nalika 1986, Marie Claire balek nglayani ing Indonesia senajan ora sajrone bentuk pelayanan penuh kayata sedurunge.","Setelah Christoph meninggal dunia pada 1986, Marie-Claire kembali melayani di Indonesia meskipun bukan dalam bentuk pelayanan penuh seperti sebelumnya."
"Saben tahun dewene teka marang Indonesia sakwene 3 nganti 4 wulan kanggo mulang ing STT GKE ing Banjarmasin, Kalimantan Selatan, lan pira pira seminari liyane ing Indonesia Timur STT Tentena lan STT Abepura, khususe sajrone ngembangake potensi kepemimpinan kaum perempuan ing gereja lan sajrone pendhidhikan teologi. Nganti siki, sakwise nglayani ing bidang pendhidhikan teologi sakwene luwih saka 50 tahun, Marie Claire Barth isih aktif nulis bahan bahan pendalaman Alkitab lan tafsiran Alkitab sajrone basa Indonesia, nulis babagan teologi feminis, lan nerjemahake teks teks teologi khususe karya Karl Barth, mertuane sarta nulis biografi babagan sejumlah tokoh wedok Kristen Indonesia.","Setiap tahun ia berkunjung ke Indonesia selama 3-4 bulan untuk mengajar di Sekolah Tinggi Teologi Gereja Kalimantan Evangelis (STT-GKE) di Banjarmasin, Kalimantan Selatan, dan beberapa seminari lainnya di Indonesia Timur (STT Tentena dan STT Abepura), khususnya dalam mengembangkan potensi kepemimpinan kaum perempuan di gereja dan dalam pendidikan teologi. Hingga sekarang, setelah melayani di bidang pendidikan teologi selama lebih dari 50 tahun, Marie-Claire Barth masih aktif menulis bahan-bahan pendalaman Alkitab dan tafsiran Alkitab dalam bahasa Indonesia, menulis tentang teologi feminis, dan menerjemahkan teks-teks teologi (khususnya karya Karl Barth, mertuanya) serta menulis biografi tentang sejumlah tokoh perempuan Kristen Indonesia. Bibliografi."
Dahlan Iskan,Dahlan Iskan
"Dahlan Iskan , inggih menika CEO surat kabar Jawa Pos lan Jawa Pos Group, ingkang markasipun ing Surabaya.","Dahlan Iskan (), adalah mantan CEO surat kabar Jawa Pos dan Jawa Pos Group yang bermarkas di Surabaya posisinya tersebut kemudian digantikan oleh putranya, Azrul Ananda."
Karier.,Karier.
Taun 1976 panjenenganipun nyambut damel dados wartawan ing kalawarti Tempo.,"Tahun 1976, ia menjadi wartawan majalah Tempo."
Treta Yuga,Tretayuga
"Miturut ajaran agama Hindu, Tretayuga Sansekerta: त्रेतायुग inggih punika jenjang jaman ingkang angka kalih wonten ing siklus Yuga.","Menurut ajaran agama Hindu, Tretayuga (Dewanagari: त्रेतायुग) adalah jenjang zaman yang kedua dalam siklus Yuga."
"Jaman punika minangka kalanjutan saking jaman Satya yuga, jaman nalika moral manungsa taksih sampurna.","Zaman ini merupakan lanjutan dari zaman Satyayuga, zaman ketika moral manusia sempurna."
Jaman Treta yuga minangka jaman saderengipun Dwaparayuga.,Zaman Tretayuga merupakan zaman sebelum Dwaparayuga.
"Jaman Satya yuga kados lembu ingkang jumeneng kanthi sekawan suku, manteb.","Zaman Satyayuga seperti lembu yang berdiri dengan empat kaki, mantap."
Para penjahat wiwit kathah.,Penjahat mulai bermunculan.
Ananging sedayanipun taksih lumampah kanthi seimbang.,Namun semua masih berjalan seimbang.
Sedaya pawiyatan ingkang gegayutan kaliyan agama saha kerohanian taksih dipuntidakaken wonten ing pundi kemawon saha taksih caket kaliyan pagesanganipun manungsa ing masyarakat. Nalika jaman punika kadadean maneka prastawa.,Aktivitas yang berhubungan dengan agama dan kerohanian terjadi dimana-mana dan sangat erat dengan kehidupan manusia. Pada zaman ini muncul berbagai peristiwa.
"Prastawa ingkang kawentar inggih punika wontenipun Awatara Dewa Wisnu ingkang angka gansal 5, kaenem 6, saha kaping pitu 7, inggih punika Awatara: Wamana, Parasurama, sarta Rama.","Peristiwa yang paling terkenal adalah munculnya Awatara Wisnu yang kelima, keenam, dan kedelapan, yakni: Wamana, Parasurama, dan Rama."
Distilasi,Distilasi
"Panerapan proses iki adhedhasar ing teori menawa ing sawijining larutan, saben saben komponen bakal umub ing titik umube.","Penerapan proses ini didasarkan pada teori bahwa pada suatu larutan, masing-masing komponen akan menguap pada titik didihnya."
Model ideal distilasi adhedhasar ing Hukum Raoult lan Hukum Dalton.,Model ideal distilasi didasarkan pada Hukum Raoult dan Hukum Dalton.
Bagan.,Bagan.
Susunan rangkaian piranti distilasi prasaja:,Berikut adalah susunan rangkaian alat ditilasi sederhana: Sejarah.
Vojvodina,Vojvodina
Provinsi Otonomi Vojvodina basa Serbia: Аутономна Покрајина Војводина atau Autonomna Pokrajina Vojvodina iku salah siji provinsi otonomi Serbia.,"Provinsi Otonomi Vojvodina (bahasa Serbia: Аутономна Покрајина Војводина atau ""Autonomna Pokrajina Vojvodina"") adalah salah satu provinsi otonomi Serbia."
"Dumunung ing sisih lor negeri iki, ing dataran Pannonia.","Terletak di bagian utara negeri ini, di dataran Pannonia."
"Ibukutha lan kutha paling gedhe ing Vojvodina yakuwi Novi Sad lan kutha paling gedhe kaloro yakuwi Subotica. Sacara etnis, budaya, lan sacara linguistik Vojvodina dumadi saka 26 klompok etnis beda beda lan 6 basa resmi.","Ibu kota dan kota terbesarnya ada di Novi Sad dan kota terbesar ke-2 adalah Szabadka. Secara etnis, budaya, dan secara linguistik Vojvodina terdiri atas 26 kelompok etnis berbeda dan 6 bahasa resmi."
Morfologi linguistik,Morfologi (linguistik)
Morfologi ateges cabang linguistik ingkang ngedintifikasi satuan satuan dasar basa dadi satuan gramatikal.,Morfologi adalah cabang linguistik yang mengidentifikasi satuan-satuan dasar bahasa sebagai satuan gramatikal.
Colorado,Colorado
Colorado  utawa  kuwi sawijining negara bageyan ing Amerika sarekat sing dumunung ing tlatah pagunungan Rocky Mountain.,Colorado adalah sebuah negara bagian di barat Amerika Serikat.
Ngelmu kapustakan,Ilmu perpustakaan
Martin Rodbell,Martin Rodbell
"Martin Rodbell Baltimore, Maryland, 1 Desember 1925  Chapel Hill, North Carolina, 7 Desember 1998 inggih punika salah satunggaling biokimiawan saking Amerika Serikat.","Martin Rodbell (Baltimore, Maryland, 1 Desember 1925 – Chapel Hill, North Carolina, 7 Desember 1998) adalah biokimiawan Amerika Serikat."
Panaliten.,Penelitian.
"Merefleksikan analogi umum antawis ilmu komputer lan biologi wonten ing taun 1960 an, Rodbell piados bilih informasi dhasar ingkang mroses sistem saking komputer lan organisme biologis mirip sanget.","Merefleksikan analogi umum antara ilmu komputer dan biologi pada 1960-an, Rodbell percaya bahwa informasi dasar yang memproses sistem dari komputer dan organisme biologis amat mirip."
"Piyambkipun nengenaken bilih sel perorangan analog kaliyan sistem cybernet ingkang kasungsun saking 3 komponen molekul ingkang benten: diskriminator, transduser, lan penguat utawi dipunkenal minangka efektor. Wonten ing wulan Desember taun 1969 lan awal Januari 1970, Rodbell makarya ing sawijining tim laboratorium ingkang nyinaoni efek hormon glukagon wonten ing reseptor membran hati tikus diskriminator sel ingkang nampi sinyal saking njawi.","Ia menegaskan bahwa sel perorangan analog dengan sistem cybernet yang terdiri atas 3 komponen molekul yang berbeda: diskriminator, transduser, dan penguat (atau dikenal sebagai efektor). Pada Desember 1969 dan awal Januari 1970, Rodbell bekerja dengan sebuah tim laboratorium yang mempelajari efek hormon glukagon pada reseptor membran hati tikus-diskriminator sel yang menerima sinyal dari luar."
Rodbell manggihaken bilih ATP adenosin trifosfat saged mbalik aksi pengikatan glukagon ing reseptor sel lan lajeng mecahaken glukagon saking sedaya sel.,Rodbell menemukan bahwa ATP (adenosin trifosfat) bisa membalik aksi pengikatan glukagon ke reseptor sel dan kemudian memecahkan glukagon dari sel semuanya.
Lajeng piyambakipun nyathet bilih jejak GTP guanosin trifosfat saged mbalikaken proses pengikatan meh kaping 1000 langkung cepet tinimbang ATP.,Lalu ia mencatat bahwa jejak GTP (guanosin trifosfat) bisa membalik proses pengikatan hampir 1000 kali lebih cepat daripada ATP.
"Rodbell nengenaken bilih GTP kemungkinan inggih punika faktor biologis aktif wonten ing mecah glukagon saking reseptor sel, lan GTP rawuh minangka regedan wonten ing eksperimen wiwitanipun kaliyan ATP.","Rodbell menegaskan bahwa GTP kemungkinan adalah faktor biologis aktif dalam memecah glukagon dari reseptor sel, dan GTP hadir sebagai kotoran dalam eksperimen awalnya dengan ATP."
"GTP ingkang kapanggihaken punika ngrangsang aktivitas wonten ing protein nukleotida guanin lajeng dipunsebut protein G, ingkang wonten ing giliranipun mrodhuksi efek metabolisme ingkang ageng ing salebeting sel.","GTP yang ditemukannya ini merangsang aktivitas dalam protein nukleotida guanin (lalu disebut protein G), yang pada gilirannya memproduksi efek metabolisme yang besar dalam sel."
